地区名,センター,燃えるごみ,燃えないごみ,空びん,資源物
泉町 ,旧松阪市,火 金,水,20150220 20150320 20150428 20150529 20150626 20150730 20150828 20150925,20150224 20150324 20150428 20150526 20150623 20150728 20150825 20150929
伊勢寺地区自治会（日丘町を除く） ,旧松阪市,火 金,月,20150210 20150310 20150409 20150514 20150609 20150710 20150814 20150911,20150213 20150313 20150410 20150508 20150612 20150710 20150814 20150904
井村町雇用促進住宅,旧松阪市,火 金,月,20150213 20150313 20150409 20150514 20150611 20150709 20150813 20150910,木3
魚町 ,旧松阪市,火 金,木,20150224 20150331 20150430 20150529 20150630 20150730 20150825 20150922,20150218 20150317 20150414 20150519 20150609 20150714 20150811 20150908
内五曲町 ,旧松阪市,火 金,水,20150220 20150320 20150428 20150529 20150626 20150730 20150828 20150925,20150218 20150317 20150414 20150519 20150609 20150714 20150811 20150908
大石町,旧松阪市,月 木,水,20150228 20150326 20150422 20150527 20150624 20150722 20150822 20150916,20150225 20150318 20150422 20150523 20150624 20150722 20150826 20150930
大河内地区全自治会,旧松阪市,火 金,水,20150210 20150317 20150414 20150508 20150605 20150703 20150807 20150904,20150203 20150303 20150407 20150512 20150602 20150707 20150804 20150901
大口町 ,旧松阪市,火 金,水,20150206 20150306 20150402 20150501 20150604 20150702 20150806 20150903,20150213 20150313 20150410 20150508 20150612 20150710 20150814 20150904
大黒田町（北出３を除く）,旧松阪市,月 木,火,20150205 20150305 20150416 20150521 20150618 20150716 20150820 20150917,金1
大黒田町北出3,旧松阪市,月 木,水,20150205 20150305 20150416 20150521 20150618 20150716 20150820 20150917,金1
大黒田町新田 ,旧松阪市,月 木,火,20150205 20150305 20150416 20150521 20150618 20150716 20150820 20150917,金2
大塚町 ,旧松阪市,火 金,月,20150213 20150313 20150409 20150514 20150611 20150709 20150813 20150910,木3
大津町 ,旧松阪市,月 木,水,20150221 20150314 20150411 20150523 20150620 20150718 20150815 20150919,20150221 20150328 20150415 20150527 20150617 20150715 20150819 20150916
大津町杉,旧松阪市,月 木,水,20150221 20150314 20150411 20150523 20150620 20150718 20150815 20150919,20150221 20150328 20150415 20150527 20150617 20150715 20150819 20150916
大平尾セントラル寮 ,旧松阪市,火 金,水,20150206 20150306 20150402 20150501 20150604 20150702 20150806 20150903,20150213 20150313 20150410 20150508 20150612 20150710 20150814 20150904
大平尾町 ,旧松阪市,火 金,月,20150213 20150313 20150409 20150514 20150611 20150709 20150813 20150910,木3
小片野町 ,旧松阪市,月 木,水,20150228 20150326 20150422 20150527 20150624 20150722 20150822 20150916,20150225 20150318 20150422 20150523 20150624 20150722 20150826 20150930
沖川 ,旧松阪市,火 金,水,20150220 20150320 20150428 20150529 20150626 20150730 20150828 20150925,20150224 20150324 20150428 20150526 20150623 20150728 20150825 20150929
白粉町 ,旧松阪市,火 金,水,20150227 20150327 20150424 20150526 20150623 20150724 20150818 20150929,20150224 20150324 20150428 20150526 20150623 20150728 20150825 20150929
大足町達,旧松阪市,月 木,火,20150205 20150305 20150416 20150521 20150618 20150716 20150820 20150917,金2
